#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
116,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770",
117,Guadeloupe,"197,918",,995                                ,,N/A,N/A,N/A,19,"495,050","2,489","938,039","2,346,306","399,794 ",North America,,24020,,,"486,933",
118,Maldives,"185,618",,311                                ,,"163,687",,"21,620",25,"343,111",575,"2,213,831","4,092,223","540,985 ",Asia,,"31,7400",,,"39,964",
119,Trinidad and Tobago,"185,377",,"4,267                                ",,"180,912",,198,8,"131,792","3,034","868,696","617,592","1,406,585 ",North America,,83302,,,141,
120,Ghana,"171,009",,"1,461                                ",,"169,527",,21,2,"5,279",45,"2,521,749","77,843","32,395,450 ",Africa,,"18922,17313",,,0.6,
121,Namibia,"169,946",,"4,080                                ",,"165,826",,40,,"64,523","1,549","1,062,663","403,460","2,633,874 ",Africa,,156462,,,15,
122,Uganda,"169,733",,"3,630                                ",,"100,431",,"65,672",3,"3,505",75,"3,012,408","62,198","48,432,863 ",Africa,,"28513,34216",,,"1,356",
123,Jamaica,"151,931",,"3,320                                ",,"99,392",,"49,219",,"50,897","1,112","1,183,986","396,633","2,985,094 ",North America,,208993,,,"16,488",
124,Cambodia,"138,120",+14,"3,056                                ",,"135,001",+9,63,,"8,045",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",0.8,,4,
125,Rwanda,"132,643",,"1,467                                ",,"131,112",,64,,"9,753",108,"5,882,479","432,520","13,600,464 ",Africa,,"1039,2712",,,5,
126,Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762","27,911,548 ",Africa,,"22514,20416",,,122,
127,Malta,"115,839",,809                                ,,"114,444",,586,4,"260,879","1,822","2,090,758","4,708,564","444,033 ",Europe,,45490,,,"1,320",
128,Angola,"104,676",,"1,924                                ",,"102,367",,385,,"2,988",55,"1,499,795","42,818","35,027,343 ",Africa,,"33518,20523",,,11,
129,Barbados,"103,955",,564                                ,,"102,435",,956,,"360,926","1,958","777,669","2,700,024","288,023 ",North America,,35110,,,"3,319",
130,French Guiana,"96,389",,411                                ,,"11,254",,"84,724",2,"306,806","1,308","651,257","2,072,951","314,169 ",South America,,37640,,,"269,677",
131,Channel Islands,"96,028",,207                                ,,"95,304",,517,,"544,182","1,173","1,252,808","7,099,551","176,463 ",Europe,,28520,,,"2,930",
132,DRC,"94,204",,"1,455                                ",,"83,610",,"9,139",,989,15,"846,704","8,890","95,240,792 ",Africa,,"1,01165,458112",,,96,
133,Senegal,"88,873",,"1,968                                ",,"86,872",,33,,"5,034",111,"1,146,543","64,946","17,653,671 ",Africa,,"1998,97015",,,2,
134,Malawi,"88,086",,"2,685                                ",,"85,009",,392,67,"4,365",133,"624,784","30,959","20,180,839 ",Africa,,"2297,51632",,,19,
135,Ivory Coast,"87,887",,830                                ,,"87,049",,8,,"3,168",30,"1,654,429","59,636","27,742,298 ",Africa,,"31633,42417",,,0.3,
136,Suriname,"81,581",,"1,393                                ",,N/A,N/A,N/A,,"136,690","2,334","239,603","401,459","596,831 ",South America,,74282,,,"51,118",
137,French Polynesia,"77,137",,649                                ,,N/A,N/A,N/A,7,"271,452","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"151,279",
138,New Caledonia,"76,051",,314                                ,,"74,603",,"1,134",9,"261,420","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,"3,898",
139,Eswatini,"73,770",,"1,422                                ",,"72,255",,93,,"62,263","1,200","1,047,886","884,429","1,184,817 ",Africa,,168331,,,78,
140,Guyana,"71,627",,"1,285                                ",,"70,221",,121,,"90,205","1,618","706,316","889,516","794,045 ",South America,,116181,,,152,
141,Belize,"69,048",,688                                ,,"68,325",,35,6,"167,515","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,85,
142,Fiji,"68,375",,878                                ,,"66,440",,"1,057",,"75,181",965,"666,164","732,478","909,466 ",Australia/Oceania,,"131,0361",,,"1,162",
143,Madagascar,"67,259",,"1,412                                ",,"65,450",,397,,"2,305",48,"518,111","17,757","29,178,077 ",Africa,,"43420,66456",,,14,
144,Sudan,"63,637",,"4,990                                ",,"58,016",,631,,"1,384",108,"562,941","12,240","45,992,020 ",Africa,,"7239,21782",,,14,
145,Mauritania,"63,420",,997                                ,,"62,420",,3,,"12,938",203,"1,008,283","205,689","4,901,981 ",Africa,,"774,9175",,,0.6,
146,Cabo Verde,"63,051",,412                                ,,"62,473",,166,23,"111,068",726,"401,622","707,482","567,678 ",Africa,,"91,3781",,,292,
147,Bhutan,"62,503",,21                                ,,"61,564",,918,,"79,324",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,165",
148,Syria,"57,400",,"3,163                                ",,"54,230",,7,,"2,964",163,"146,269","7,553","19,364,809 ",Asia,,"3376,122132",,,0.4,
149,Burundi,"50,639",,38                                ,,"50,418",,183,,"4,011",3,"345,742","27,386","12,624,840 ",Africa,,"249332,23337",,,14,
150,Seychelles,"50,068",,171                                ,,"49,606",,291,,"503,570","1,720",,,"99,426 ",Africa,,2581,,,"2,927",
151,Gabon,"48,973",,306                                ,,"48,582",,85,,"21,005",131,"1,620,976","695,240","2,331,533 ",Africa,,"487,6191",,,36,
152,Andorra,"47,219",,157                                ,,"46,731",,331,14,"609,568","2,027","249,838","3,225,256","77,463 ",Europe,,24930,,,"4,273",
153,Papua New Guinea,"46,182",,668                                ,,"43,982",,"1,532",7,"4,970",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"20113,91037",,,165,
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,"5,866",
155,Aruba,"43,641",,236                                ,,"42,438",,967,2,"405,552","2,193","177,885","1,653,068","107,609 ",North America,,24561,,,"8,986",
156,Mayotte,"41,206",,187                                ,,N/A,N/A,N/A,,"143,947",653,"176,919","618,038","286,259 ",Africa,,"71,5312",,,"132,939",
157,Mauritius,"41,042",,"1,032                                ",,"39,278",,732,,"32,197",810,"358,675","281,374","1,274,727 ",Africa,,"311,2354",,,574,
158,Tanzania,"40,656",,845                                ,,N/A,N/A,N/A,7,642,13,,,"63,298,550 ",Africa,,"1,55774,910",,,626,
159,Togo,"39,330",,290                                ,,"39,035",,5,,"4,531",33,"801,709","92,354","8,680,837 ",Africa,,"22129,93411",,,0.6,
160,Guinea,"38,153",,464                                ,,"37,218",,471,8,"2,752",33,"660,107","47,607","13,865,691 ",Africa,,"36329,88321",,,34,
161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,"129,450",
162,Bahamas,"37,483",,833                                ,,"36,360",,290,1,"93,587","2,080","257,839","643,767","400,516 ",North America,,114812,,,724,
163,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,,"11,7580",,,"547,133",
164,Lesotho,"34,490",,706                                ,,"25,980",,"7,804",,"15,852",324,"431,221","198,199","2,175,699 ",Africa,,"633,0825",,,"3,587",
165,Haiti,"33,862",,860                                ,,"32,897",,105,,"2,899",74,"132,422","11,337","11,680,283 ",North America,,"34513,58288",,,9,
166,Mali,"32,760",,742                                ,,"31,941",,77,,"1,526",35,"777,936","36,227","21,473,764 ",Africa,,"65528,94028",,,4,
